source_id,source,target_id,target,amount,year,amount2
36,Awesome Foundation,41,Belle Isle to 8 Mile,1000,2012,"0 - 1,999"
36,Awesome Foundation,55,Boys 2 Books,1000,2012,"0 - 1,999"
36,Awesome Foundation,148,Detroit Elders Project,1000,2013,"0 - 1,999"
36,Awesome Foundation,159,Detroit Journal,1000,2012,"0 - 1,999"
36,Awesome Foundation,161,Detroit Ledger,1000,2013,"0 - 1,999"
36,Awesome Foundation,245,Grandmont Rosedale: Love Where You Live Project,1000,2013,"0 - 1,999"
36,Awesome Foundation,264,Her Detroit,1000,2012,"0 - 1,999"
36,Awesome Foundation,274,I Am Young Detroit 2.0 & Cityspotters,1000,2012,"0 - 1,999"
36,Awesome Foundation,278,Inside Southwest Detroit: Resident Interviews,1000,2012,"0 - 1,999"
36,Awesome Foundation,302,Kidz Times,1000,2012,"0 - 1,999"
36,Awesome Foundation,397,Ocelot Print Shop,1000,2012,"0 - 1,999"
36,Awesome Foundation,398,"Odditorium Detroit, the Blog",1000,2013,"0 - 1,999"
36,Awesome Foundation,407,People of Detroit Photodocumentary,1000,2012,"0 - 1,999"
36,Awesome Foundation,449,"Shoot Film, Not People",1000,2013,"0 - 1,999"
36,Awesome Foundation,483,Strong & Beautiful,1000,2012,"0 - 1,999"
36,Awesome Foundation,528,Vote Detroit,1000,2013,"0 - 1,999"
94,Chrysler Foundation,23,American Red Cross - Southeastern Michigan Chapter,114819.44,2011,"100,000 - 249,999"
94,Chrysler Foundation,29,Arts & Scraps,250,2011,"0 - 1,999"
94,Chrysler Foundation,173,Detroit Science Center,290000,2011,"250,000 - 499,999"
94,Chrysler Foundation,229,Frederick Douglass College Prep Academy,7350,2011,"2,000 - 9,999"
94,Chrysler Foundation,232,Freelance Photography,700,2012,"0 - 1,999"
94,Chrysler Foundation,233,"Friends of Assumption Foundation, Inc",1009.46,2011,"0 - 1,999"
94,Chrysler Foundation,241,"Gleaners Community Food Bank, Inc",10000,2011,"10,000 - 49,999"
94,Chrysler Foundation,496,"Think Detroit PAL, Inc",40000,2011,"10,000 - 49,999"
